moviewidwrelease_datewproduction_budgetwdomestic_grossw"worldwide_gross"
Bottle Shockw42wAug 6, 2008w5000000.0w4078607.0w4815890
Des Hommes et Des Dieuxw43wFeb 25, 2011w5000000.0w3954651.0w46263525
Jekyll and Hyde... Together Againw44wAug 27, 1982w5000000.0w3707583.0w3707583
Table 19w45wMar 3, 2017w5000000.0w3614896.0w4620399
Green Roomw46wApr 15, 2016w5000000.0w3220371.0w3807503
Thoroughbredsw47wMar 9, 2018w5000000.0w3072605.0w3187302
Heavenly Creaturesw48wNov 16, 1994w5000000.0w3046086.0w5438120
The Other Side of the Doorw49wMar 4, 2016w5000000.0w3000342.0w12905107
Everything Must Gow50wMay 13, 2011w5000000.0w2712131.0w2821010
Kill the Messengerw51wOct 10, 2014w5000000.0w2450846.0w6656705
Rabbit Holew52wDec 17, 2010w5000000.0w2229058.0w6205034
Jem and the Hologramsw53wOct 23, 2015w5000000.0w2184640.0w2368937
Patersonw54wDec 28, 2016w5000000.0w2141423.0w10727536
Zero Effectw55wJan 30, 1998w5000000.0w2080693.0w2080693
A Midnight Clearw56wApr 24, 1992w5000000.0w1526697.0w1526697
The Machinistw57wOct 22, 2004w5000000.0w1082044.0w8655397
Light Sleeperw58wSep 21, 1992w5000000.0w1050861.0w1050861
American Teenw59wJul 25, 2008w5000000.0w942441.0w989319
Atlas Shrugged: Who Is John Galt?w60wSep 12, 2014w5000000.0w851690.0w851690
Party Monsterw61wAug 29, 2003w5000000.0w742898.0w894030
The Oh in Ohiow62wJul 14, 2006w5000000.0w418689.0w648183
Bottle Rocketw63wFeb 21, 1996w5000000.0w407488.0w407488
Ain't Them Bodies Saintsw64wAug 16, 2013w5000000.0w391611.0w1075009
Albino Alligatorw65wJan 17, 1997w5000000.0w353480.0w353480
Jimi: All is By My Sidew66wSep 26, 2014w5000000.0w340911.0w927074
Gandhi, My Fatherw67wAug 3, 2007w5000000.0w240425.0w2015004
Standard Operating Procedurew68wApr 25, 2008w5000000.0w228830.0w332120
Tucker & Dale vs. Evilw69wSep 30, 2011w5000000.0w223838.0w5476793
No Looking Backw70wMar 27, 1998w5000000.0w143273.0w143273
Cop Carw71wAug 7, 2015w5000000.0w134552.0w143658
Lovely, Stillw72wSep 10, 2010w5000000.0w127564.0w282687
Tycoonw73wJun 13, 2003w5000000.0w121016.0w121016
Desert Bluew74wJun 4, 1999w5000000.0w99147.0w99147
Decoysw75wFeb 27, 2004w5000000.0w84733.0w96760
Stuckw76wMay 30, 2008w5000000.0w67505.0w67505
Redactedw77wNov 16, 2007w5000000.0w65388.0w861325
Rudderlessw78wOct 17, 2014w5000000.0w56001.0w567219
Fascinationw79wJan 28, 2005w5000000.0w16670.0w83356
Gracew80wAug 14, 2009w5000000.0w8297.0w8297
Area 51w81wMay 15, 2015w5000000.0w7556.0w7556
Mientras duermesw82wOct 26, 2012w5000000.0w0.0w9109597
Flying Byw83wJul 7, 2009w5000000.0w0.0w4568257
The Cottagew84wDec 31, 2008w5000000.0w0.0w1504960
Dying of the Lightw85wDec 5, 2014w5000000.0w0.0w74639
Yoga Hosersw86wSep 2, 2016w5000000.0w0.0w22958
Dead Like Me: Life After Deathw87wFeb 17, 2009w5000000.0w0.0w0
Farce of the Penguinsw88wJan 30, 2007w5000000.0w0.0w0
Psych 9w89wDec 31, 2010w5000000.0w0.0w0
Reach Mew90wNov 21, 2014w5000000.0w0.0w0
Henry & Mew91wAug 18, 2014w5000000.0w0.0w0
Born of Warw92wJan 27, 2015w5000000.0w0.0w0
Let's Kill Ward's Wifew93wJan 9, 2015w5000000.0w0.0w0
Capricorn Onew94wJan 13, 2015w5000000.0w0.0w0
We Have Your Husbandw95wDec 31, 2011w5000000.0w0.0w0
Should've Been Romeow96wDec 31, 2012w5000000.0w0.0w0
Aztec Warriorw97wDec 31, 2015w5000000.0w0.0w0
Navy SEAL vs. Zombiesw98wSep 25, 2015w5000000.0w0.0w0
The Hatchingw99wMar 15, 2016w5000000.0w0.0w0
Running Foreverw100wOct 27, 2015w5000000.0w0.0w0
Mommyw1wJan 23, 2015w4900000.0w3498695.0w17536004
Obsluhoval jsem anglickÃ©ho krÃ¡lew2wAug 29, 2008w4900000.0w617228.0w7174984
Soul Kitchenw3wAug 20, 2010w4900000.0w276901.0w23347461
"The Awakening"w4wAug 17, 2012w4900000.0w95933.0w6924321
All Hatw5wJan 18, 2008w4900000.0w15198.0w15198
Sling Bladew6wNov 20, 1996w4833610.0w24475416.0w34175000
Hostelw7wJan 6, 2006w4800000.0w47326473.0w82241110
Only God Forgivesw8wJul 19, 2013w4800000.0w775849.0w4494560
Take Shelterw9wSep 30, 2011w4750000.0w1728953.0w4972016
Tristram Shandy: A Cock and Bull Storyw10wJan 27, 2006w4750000.0w1253413.0w3061763
"The Texas Chainsaw Massacre 2"w11wAug 22, 1986w4700000.0w8025872.0w8025872
Lady in Whitew12wApr 22, 1988w4700000.0w1705139.0w1705139
Driving Lessonsw13wOct 13, 2006w4700000.0w239962.0w239962
Without Menw14wDec 31, 2011w4700000.0w0.0w0
Treading Waterw15wMar 10, 2015w4700000.0w0.0w0
Pat Garrett and Billy the Kidw16wMay 23, 1973w4638783.0w8000000.0w11000000
Camping Sauvagew17wJul 16, 2004w4600000.0w3479302.0w3479302
Barfiw18wSep 14, 2012w4600000.0w2804874.0w36751984
Dear Frankiew19wMar 4, 2005w4600000.0w1340891.0w3099369
The Assassination of Richard Nixonw20wDec 29, 2004w4600000.0w708776.0w4880143
Le nom des gensw21wJun 24, 2011w4600000.0w514237.0w9261711
Savage Gracew22wMay 28, 2008w4600000.0w434417.0w968805
Out of the Bluew23wOct 19, 2007w4600000.0w728.0w731767
Police Academyw24wMar 23, 1984w4500000.0w81198894.0w81198894
Four Weddings and a Funeralw25wMar 9, 1994w4500000.0w52700832.0w242895809
The Blue Lagoonw26wJun 20, 1980w4500000.0w47923795.0w47923795
Fast Times at Ridgemont Highw27wAug 13, 1982w4500000.0w27092880.0w27092880
Secrets & Liesw28wSep 28, 1996w4500000.0w13417292.0w13417292
25th Hourw29wDec 19, 2002w4500000.0w13084595.0w25344490
After Hoursw30wSep 13, 1985w4500000.0w10609321.0w10609321
Moby Dickw31wJun 27, 1956w4500000.0w10400000.0w10400000
The Lobsterw32wMar 25, 2016w4500000.0w9196278.0w18019834
Boundw33wOct 4, 1996w4500000.0w3802260.0w7011317
Requiem for a Dreamw34wOct 6, 2000w4500000.0w3635482.0w7389233
State Fairw35wMar 9, 1962w4500000.0w3500000.0w3500000
LÃ¥t den rÃ¤tte komma inw36wOct 24, 2008w4500000.0w2122085.0w12247682
Tangow37wFeb 12, 1999w4500000.0w1687311.0w5428387
Salvadorw38wApr 23, 1986w4500000.0w1500000.0w1500000
Donnie Darkow39wOct 26, 2001w4500000.0w1480006.0w7510877
Salvando al Soldado Perezw40wSep 2, 2011w4500000.0w1400726.0w9330465
Karakterw41wMar 27, 1998w4500000.0w713413.0w713413
Nannerl la soeur de Mozartw42wAug 19, 2011w4500000.0w707885.0w2404639
Spunw43wMar 14, 2003w4500000.0w410241.0w1022649
Life During Wartimew44wJul 23, 2010w4500000.0w281447.0w281447
Chinjeolhan geumjassiw45wMay 4, 2006w4500000.0w211667.0w23471871
Blackthornw46wOct 7, 2011w4500000.0w200558.0w1217307
Maggiew47wMay 8, 2015w4500000.0w187112.0w1027760
Lilja 4-everw48wApr 18, 2003w4500000.0w181655.0w4556982
After.Lifew49wApr 9, 2010w4500000.0w108596.0w2481925
Mean Machinew50wFeb 22, 2002w4500000.0w92723.0w92723
Fong jukw51wAug 31, 2007w4500000.0w51957.0w51957
Spoken Wordw52wJul 23, 2010w4500000.0w32961.0w32961
"The Sweeney"w53wMar 1, 2013w4500000.0w26345.0w8000366
Falcon Risingw54wSep 4, 2014w4500000.0w11774.0w11774
Hansel & Gretel Get Bakedw55wJun 25, 2013w4500000.0w0.0w0
Fuglyw56wNov 7, 2014w4500000.0w0.0w0
Zipperw57wAug 28, 2015w4500000.0w0.0w0
The Final Girlsw58wNov 3, 2015w4500000.0w0.0w0
Daisy Wintersw59wDec 1, 2017w4500000.0w0.0w0
"One Flew Over the Cuckoo's Nest"w60wNov 19, 1975w4400000.0w108981275.0w108997629
Silent Moview61wJun 25, 1976w4400000.0w36145695.0w36145695
Airlift (2016)w62wDec 31, 2016w4400000.0w0.0w9969237
R.L. Stine's Monsterville: The Cabinet of Soulsw63wSep 29, 2015w4400000.0w0.0w0
Annaw64wJun 6, 2014w4357373.0w0.0w1200000
Whale Riderw65wJun 6, 2003w4300000.0w20779666.0w39374600
Sexy Beastw66wJun 13, 2001w4300000.0w6946056.0w10158355
Paaw67wDec 4, 2009w4300000.0w199228.0w9791282
Snabba Cashw68wJul 11, 2012w4300000.0w188870.0w10212403
Night of the Living Deadw69wOct 19, 1990w4200000.0w5835247.0w5835247
Nochnoy dozorw70wFeb 17, 2006w4200000.0w1502188.0w33913542
Animal Kingdomw71wAug 13, 2010w4200000.0w1044039.0w8078683
George A. Romero's Survival of the Deadw72wMay 28, 2010w4200000.0w101740.0w101740
Cargow73wOct 21, 2011w4200000.0w0.0w313230
High School Musicalw74wMay 23, 2006w4200000.0w0.0w0
Love and Death on Long Islandw75wMar 6, 1998w4030000.0w2542264.0w2542264
Porky'sw76wMar 19, 1982w4000000.0w109492484.0w109492484
Peter Panw77wFeb 5, 1953w4000000.0w87400000.0w87400000
The Crying Gamew78wNov 25, 1992w4000000.0w62546695.0w62546695
Lost in Translationw79wSep 12, 2003w4000000.0w44585453.0w117085297
Annie Hallw80wApr 20, 1977w4000000.0w38251425.0w38251425
The Boy Next Doorw81wJan 23, 2015w4000000.0w36006065.0w53401938
"The Greatest Show on Earth"w82wJan 10, 1952w4000000.0w36000000.0w36000000
Leaving Las Vegasw83wOct 27, 1995w4000000.0w31983777.0w49800000
Monster's Ballw84wDec 26, 2001w4000000.0w31273922.0w43766463
Boyhoodw85wJul 11, 2014w4000000.0w25379975.0w57273049
Exodusw86wDec 15, 1960w4000000.0w21750000.0w21750000
The Kids Are All Rightw87wJul 9, 2010w4000000.0w20811365.0w36275469
Life of Brianw88wAug 17, 1979w4000000.0w20182359.0w20468305
A Haunted House 2w89wApr 18, 2014w4000000.0w17329487.0w21206861
The Last Exorcism Part IIw90wMar 1, 2013w4000000.0w15179303.0w25448707
The Front Pagew91wDec 17, 1974w4000000.0w15000000.0w15000000
Trapezew92wMay 30, 1956w4000000.0w14400000.0w14400000
The Return of the Living Deadw93wAug 16, 1985w4000000.0w14237880.0w14237880
They Livew94wNov 4, 1988w4000000.0w13000000.0w13000774
Saving Gracew95wAug 4, 2000w4000000.0w12178602.0w27786849
The Great Escapew96wAug 8, 1963w4000000.0w11744471.0w11972561
"What the #$'! Do We Know"w97wFeb 6, 2004w4000000.0w10941801.0w10941801
The Darknessw98wMay 13, 2016w4000000.0w10753574.0w10898293
Scoopw99wJul 28, 2006w4000000.0w10525717.0w40103262
The Washw100wNov 14, 2001w4000000.0w10097096.0w10097096
3 Strikesw1wMar 1, 2000w4000000.0w9821335.0w9821335
The Visitorw2wApr 11, 2008w4000000.0w9427026.0w19174817
The Coolerw3wNov 26, 2003w4000000.0w8291572.0w11131455
The Misfitsw4wFeb 1, 1961w4000000.0w8200000.0w8200000
The Night Listenerw5wAug 4, 2006w4000000.0w7836393.0w10770993
The Jerky Boysw6wFeb 3, 1995w4000000.0w7555256.0w7555256
El orfanatow7wDec 28, 2007w4000000.0w7159147.0w79250193
Bugw8wMay 25, 2007w4000000.0w7006708.0w8302995
The Rules of Attractionw9wOct 11, 2002w4000000.0w6525762.0w11799060
Topazw10wDec 19, 1969w4000000.0w6000000.0w6000000
Let's Go to Prisonw11wNov 17, 2006w4000000.0w4630045.0w4630045
Four Roomsw12wDec 25, 1995w4000000.0w4301000.0w4301000
Secretaryw13wSep 20, 2002w4000000.0w4046737.0w9413956
The Real Cancunw14wApr 25, 2003w4000000.0w3816594.0w3816594
Talk Radiow15wDec 1, 1988w4000000.0w3468572.0w3468572
Waiting for Guffmanw16wJan 31, 1997w4000000.0w2922988.0w2922988
Love Stinksw17wSep 10, 1999w4000000.0w2793776.0w2793776
Samsaraw18wAug 24, 2012w4000000.0w2672413.0w5966671
You Kill Mew19wJun 22, 2007w4000000.0w2426851.0w3858964
The Art of Getting Byw20wJun 17, 2011w4000000.0w1430241.0w1989035
Thumbsuckerw21wSep 16, 2005w4000000.0w1328679.0w1919197
Red Statew22wSep 23, 2011w4000000.0w1065429.0w1983596
MirrorMaskw23wSep 30, 2005w4000000.0w864959.0w973613
The Barbariansw24wMar 31, 1987w4000000.0w800000.0w800000
Holy Motorsw25wOct 17, 2012w4000000.0w641054.0w4230426
The Signalw26wJun 13, 2014w4000000.0w600896.0w2665322
Poolhall Junkiesw27wFeb 28, 2003w4000000.0w563711.0w563711
The Loss of Sexual Innocencew28wMay 28, 1999w4000000.0w399793.0w399793
The Face of Lovew29wMar 7, 2014w4000000.0w385069.0w1158877
Joew30wApr 11, 2014w4000000.0w373375.0w373375
Prisonw31wMar 4, 1988w4000000.0w354704.0w354704
Shooting Fishw32wMay 1, 1998w4000000.0w302204.0w302204
Adorationw33wMay 8, 2009w4000000.0w294244.0w384244
Psycho Beach Partyw34wAug 4, 2000w4000000.0w267972.0w267972
Late Nightw35wJun 7, 2019w4000000.0w246305.0w246305
The Big Teasew36wJan 28, 2000w4000000.0w185577.0w185577
Polina danser sa view37wAug 25, 2017w4000000.0w165203.0w953314
Desert Dancerw38wApr 10, 2015w4000000.0w155271.0w596335
Guten Tag, Ramonw39wJan 30, 2015w4000000.0w154356.0w4854356
Mondays in the Sunw40wJul 25, 2003w4000000.0w146402.0w146402
Manglehornw41wJun 19, 2015w4000000.0w132270.0w797439
Tau ming chongw42wApr 2, 2010w4000000.0w129078.0w38899792
Trustw43wApr 1, 2011w4000000.0w120016.0w120016
An Everlasting Piecew44wDec 22, 2000w4000000.0w75078.0w75078
Among Giantsw45wMar 26, 1999w4000000.0w64359.0w64359
The Velocity of Garyw46wJul 16, 1999w4000000.0w34145.0w34145
Stake Landw47wApr 22, 2011w4000000.0w33245.0w679482
Praia do Futurow48wFeb 27, 2015w4000000.0w20620.0w760678
Sonnyw49wDec 27, 2002w4000000.0w17639.0w17639
The Last Time I Committed Suicidew50wJun 20, 1997w4000000.0w12836.0w12836
13 Sinsw51wApr 18, 2014w4000000.0w9134.0w47552
Another Happy Dayw52wNov 18, 2011w4000000.0w9120.0w978527
Inescapablew53wFeb 22, 2013w4000000.0w4327.0w4327
Perfectos Desconocidosw54wDec 31, 2017w4000000.0w0.0w31166312
Geograf globus propilw55wDec 31, 2013w4000000.0w0.0w4454853
A Lonely Place to Diew56wMar 20, 2012w4000000.0w0.0w442550
Nothingw57wDec 31, 2003w4000000.0w0.0w63180
The Loved Onesw58wJun 1, 2012w4000000.0w0.0w12302
1776w59wNov 9, 1972w4000000.0w0.0w0
Hell's Angelsw60wNov 15, 1930w4000000.0w0.0w0
Purple Violetsw61wAug 26, 2008w4000000.0w0.0w0
Replicasw62wNov 9, 2012w4000000.0w0.0w0
The Helpersw63wDec 31, 2012w4000000.0w0.0w0
The Veilw64wDec 31, 2015w4000000.0w0.0w0
The Perfect Wavew65wJul 11, 2014w4000000.0w0.0w0
"How to Fall in Love"w66wDec 31, 2012w4000000.0w0.0w0
Chain of Commandw67wSep 8, 2015w4000000.0w0.0w0
"Gone with the Wind"w68wDec 15, 1939w3900000.0w198680470.0w390525192
A Man for All Seasonsw69wDec 12, 1966w3900000.0w28350000.0w28350000
Ben-Hur: A Tale of the Christw70wDec 30, 1925w3900000.0w9000000.0w9000000
"Network"w71wJan 1, 1976w3800000.0w23689877.0w23689877
"Down for Life"w72wJan 14, 2011w3800000.0w41914.0w41914
The Good Heartw73wApr 30, 2010w3800000.0w20930.0w340930
Major Dundeew74wApr 7, 1965w3800000.0w14873.0w14873
Hevi reissuw75wOct 5, 2018w3800000.0w10153.0w10153
"The Taking of Pelham One Two Three"w76wDec 31, 1974w3800000.0w0.0w0
Annie Get Your Gunw77wMay 17, 1950w3768785.0w8000000.0w8000000
Casa de Areiaw78wAug 11, 2006w3750000.0w539285.0w1178175
Four Lionsw79wNov 5, 2010w3750000.0w310007.0w2436111
Defendorw80wFeb 19, 2010w3750000.0w44462.0w44462
The Ballad of Cable Hoguew81wMay 13, 1970w3716946.0w3500000.0w5000000
The Piratew82wMay 20, 1948w3700000.0w2956000.0w2956000
The History Boysw83wNov 21, 2006w3700000.0w2730296.0w13447998
"Unknown"w84wNov 3, 2006w3700000.0w26403.0w3355048
"Midnight Cowboy"w85wMay 25, 1969w3600000.0w44785053.0w44785053
Billy: The Early Years of Billy Grahamw86wOct 10, 2008w3600000.0w320896.0w320896
UtÃ¸ya 22. juliw87wDec 31, 2017w3600000.0w0.0w173156
Airplane!w88wJul 4, 1980w3500000.0w83453539.0w83453539
M*A*S*Hw89wJan 1, 1970w3500000.0w81600000.0w81600000
The Full Montyw90wAug 13, 1997w3500000.0w45950122.0w261249383
Truth or Darew91wApr 13, 2018w3500000.0w41411015.0w95127344
Menace II Societyw92wMay 26, 1993w3500000.0w27731527.0w27731527
Fridayw93wApr 26, 1995w3500000.0w27467564.0w27936778
The Witchw94wFeb 19, 2016w3500000.0w25138705.0w40454520
Winchesterw95wFeb 2, 2018w3500000.0w25091816.0w44378040
Empirew96wDec 6, 2002w3500000.0w17504595.0w18495444
Dark Skiesw97wFeb 22, 2013w3500000.0w17418667.0w27704111
Forever My Girlw98wJan 19, 2018w3500000.0w16376066.0w16376066
"Creepshow 2"w99wMay 1, 1987w3500000.0w14000000.0w14000000
In Cold Bloodw100wDec 14, 1967w3500000.0w13000000.0w13007551
The Nun's Storyw1wJul 18, 1959w3500000.0w12800000.0w12800000
Frenzyw2wJun 21, 1972w3500000.0w12600000.0w12600000
Harperw3wFeb 23, 1966w3500000.0w12000000.0w12000000
I Got the Hook-Up!w4wMay 27, 1998w3500000.0w10317779.0w10317779
She's the Onew5wAug 23, 1996w3500000.0w9482579.0w13795053
Terror Trainw6wJan 1, 1980w3500000.0w8000000.0w8000000
Gods and Monstersw7wNov 6, 1998w3500000.0w6451628.0w6451628
El secreto de sus ojosw8wApr 16, 2010w3500000.0w6391436.0w40527719
Evil Dead IIw9wMar 13, 1987w3500000.0w5923044.0w5926177
Day of the Deadw10wJun 30, 1985w3500000.0w5804262.0w34004262
First Reformedw11wMay 18, 2018w3500000.0w3448256.0w3874772
Pootie Tangw12wJun 29, 2001w3500000.0w3293258.0w3293258
Believew13wDec 2, 2016w3500000.0w890303.0w890303
La otra conquistaw14wApr 19, 2000w3500000.0w886410.0w886410
American Honeyw15wSep 30, 2016w3500000.0w663247.0w2611750
The Bronzew16wMar 18, 2016w3500000.0w615816.0w615816
Trolljegerenw17wJun 10, 2011w3500000.0w253444.0w5706638
Ira and Abbyw18wSep 14, 2007w3500000.0w221096.0w221096
The Masked Saintw19wJan 8, 2016w3500000.0w182695.0w182695
Winter Passingw20wFeb 17, 2006w3500000.0w107492.0w113783
D.E.B.S.w21wMar 25, 2005w3500000.0w96793.0w96793
Time to Choosew22wJun 3, 2016w3500000.0w29233.0w29233
Surveillancew23wJun 26, 2009w3500000.0w27349.0w1396395
Taxmanw24wSep 17, 1999w3500000.0w9871.0w9871
The Kickw25wDec 31, 2011w3500000.0w0.0w40622
The Betrayedw26wJun 30, 2009w3500000.0w0.0w0
The Secretw27wOct 1, 2006w3500000.0w0.0w0
2:13w28wJun 28, 2011w3500000.0w0.0w0
Batman: The Dark Knight Returns, Part 2w29wJan 29, 2013w3500000.0w0.0w0
In the Name of the King IIIw30wMar 11, 2014w3500000.0w0.0w0
Wicked Bloodw31wMar 4, 2014w3500000.0w0.0w0
"Dawn Patrol"w32wJun 5, 2015w3500000.0w0.0w0
Jagtenw33wMay 17, 2013w3450000.0w687185.0w18309793
Lords of Londonw34wSep 1, 2015w3440000.0w0.0w0
La marche de l'empereurw35wJun 24, 2005w3400000.0w77437223.0w133276359
High Anxietyw36wDec 23, 1977w3400000.0w31063038.0w31063038
Margin Callw37wOct 21, 2011w3400000.0w5353586.0w20433227
Chokew38wSep 26, 2008w3400000.0w2926565.0w4124277
L\'incomparable mademoiselle C.w39wApr 23, 2004w3400000.0w493905.0w493905
Augustw40wJul 11, 2008w3400000.0w12636.0w12636
To Write Love On Her Armsw41wMar 3, 2015w3400000.0w0.0w0
Carouselw42wFeb 16, 1956w3380000.0w0.0w3604
Whiplashw43wOct 10, 2014w3300000.0w13092006.0w38969037
Bellaw44wOct 26, 2007w3300000.0w8093373.0w12405473
Cidade de Deusw45wJan 17, 2003w3300000.0w7563397.0w32059295
Human Trafficw46wMay 5, 2000w3300000.0w104257.0w5422740
The Dead Girlw47wDec 29, 2006w3300000.0w19875.0w19875
The Opposite Sexw48wJan 20, 2015w3300000.0w0.0w50206
A Christmas Storyw49wNov 18, 1983w3250000.0w20605209.0w20605209
Class of 1984w50wAug 20, 1982w3250000.0w6965361.0w6965361
Entre les mursw51wJan 30, 2009w3250000.0w3766810.0w34114067
Dreaming of Joseph Leesw52wOct 29, 1999w3250000.0w7680.0w7680
Rosemary's Babyw53wJun 12, 1968w3200000.0w33395426.0w33395426
Sorry to Bother Youw54wJul 6, 2018w3200000.0w17493096.0w18285560
The Man Who Shot Liberty Valancew55wApr 22, 1962w3200000.0w8000000.0w8000000
Maria Full of Gracew56wJul 16, 2004w3200000.0w6529624.0w14441158
Beginnersw57wJun 3, 2011w3200000.0w5790894.0w14314407
The Meddlerw58wApr 22, 2016w3200000.0w4267219.0w5526942
Adamw59wJul 29, 2009w3200000.0w2283291.0w2834485
Feastw60wSep 22, 2006w3200000.0w56131.0w690872
Itâs a Wonderful Lifew61wDec 20, 1946w3180000.0w6600000.0w10768908
Trainspottingw62wJul 19, 1996w3100000.0w16501785.0w71558971
Antiviralw63wApr 12, 2013w3100000.0w0.0w123407
National Lampoon's Animal Housew64wJul 28, 1978w3000000.0w141600000.0w141600000
Paranormal Activity 2w65wOct 20, 2010w3000000.0w84752907.0w177512032
War Roomw66wAug 28, 2015w3000000.0w67790117.0w73975239
The Purgew67wJun 7, 2013w3000000.0w64473115.0w91266581
Goldfingerw68wDec 22, 1964w3000000.0w51100000.0w124900000
Sinisterw69wOct 12, 2012w3000000.0w48086903.0w87727807
The Original Kings of Comedyw70wAug 18, 2000w3000000.0w38168022.0w38236338
"The Bridge on the River Kwai"w71wDec 18, 1957w3000000.0w33300000.0w33300000
Coming Homew72wJan 1, 1978w3000000.0w32653000.0w32653000
Waking Ned Devinew73wNov 20, 1998w3000000.0w24793251.0w55193251
Air Budw74wAug 1, 1997w3000000.0w24646936.0w27788649
"Bowling for Columbine"w75wOct 11, 2002w3000000.0w21576018.0w58240487
A Nightmare on Elm Street Part 2: Freddy's Revengew76wNov 1, 1985w3000000.0w21163999.0w21163999
"A Room with a View"w77wMar 7, 1986w3000000.0w20966644.0w20966644
Love and Deathw78wJun 10, 1975w3000000.0w20123742.0w20123742
Friday the 13th Part VI: Jason Livesw79wAug 1, 1986w3000000.0w19472057.0w19472057
"Martin Lawrence Live: RunTelDat"w80wAug 2, 2002w3000000.0w19184820.0w19184820
The Apartmentw81wJun 15, 1960w3000000.0w18600000.0w24600000
Cat on a Hot Tin Roofw82wSep 20, 1958w3000000.0w17570324.0w17570324
Beneath the Planet of the Apesw83wMay 26, 1970w3000000.0w17489009.0w17489009
Pokemon 3: The Moview84wApr 6, 2001w3000000.0w17052128.0w68452128
Jason Goes to Hell: The Final Fridayw85wAug 13, 1993w3000000.0w15935068.0w15935068
Spaced Invadersw86wApr 27, 1990w3000000.0w15000000.0w15000000
Family Plotw87wApr 9, 1976w3000000.0w13200000.0w13200000
Torn Curtainw88wJul 16, 1966w3000000.0w13000000.0w13000000
Upgradew89wJun 1, 2018w3000000.0w11977130.0w16553285
Dave Chappelle's Block Partyw90wMar 3, 2006w3000000.0w11718595.0w12051924
Krush Groovew91wOct 25, 1985w3000000.0w11052713.0w11052713
Elmer Gantryw92wJul 7, 1960w3000000.0w10400000.0w10400000
Next Day Airw93wMay 8, 2009w3000000.0w10027047.0w10172519
Judgment at Nurembergw94wDec 19, 1961w3000000.0w10000000.0w10000000
Bellyw95wNov 4, 1998w3000000.0w9639390.0w9639390
Trippinâw96wMay 12, 1999w3000000.0w9017070.0w9017070
Red Riverw97wAug 26, 1948w3000000.0w9012000.0w9012000
The Deep Endw98wAug 8, 2001w3000000.0w8823109.0w9981635
Before Midnightw99wMay 24, 2013w3000000.0w8110621.0w23251930
Teen Wolf Toow100wNov 20, 1987w3000000.0w7888000.0w7888000
The Collectorw1wJul 31, 2009w3000000.0w7712114.0w10473836
Phantasm IIw2wJul 8, 1988w3000000.0w7282851.0w7282851
Let There Be Lightw3wOct 27, 2017w3000000.0w7233471.0w7241309
Phat Girlzw4wApr 7, 2006w3000000.0w7061128.0w7301115
Woman Thou Art Loosedw5wOct 1, 2004w3000000.0w6879730.0w6879730
Real Women Have Curvesw6wOct 18, 2002w3000000.0w5853194.0w7777790
Gallipoliw7wAug 28, 1981w3000000.0w5732587.0w5732587
Waterw8wApr 28, 2006w3000000.0w5529144.0w11322573
"Donât Think Twice"w9wJul 22, 2016w3000000.0w4417983.0w4417983
"Swiss Army Man"w10wJun 24, 2016w3000000.0w4210454.0w5837111
East is Eastw11wApr 14, 2000w3000000.0w4170647.0w30438635
Whippedw12wSep 1, 2000w3000000.0w4142507.0w4142507
Kama Sutraw13wFeb 28, 1997w3000000.0w4109095.0w4109095
Frances Haw14wMay 17, 2013w3000000.0w4067398.0w11262769
Please Givew15wApr 30, 2010w3000000.0w4033574.0w4570178
Willy Wonka & the Chocolate Factoryw16wJun 30, 1971w3000000.0w4000000.0w4000000
Warlock: The Armageddonw17wSep 24, 1993w3000000.0w3902679.0w3902679
8 Heads in a Duffel Bagw18wApr 18, 1997w3000000.0w3602884.0w4002884
Days of Heavenw19wSep 13, 1978w3000000.0w3446749.0w3660880
Thirteen Conversations About One Thingw20wMay 24, 2002w3000000.0w3287435.0w3705923
Compadresw21wApr 22, 2016w3000000.0w3127773.0w7445044
"Jawbreaker"w22wFeb 19, 1999w3000000.0w3076820.0w3076820
Basquiatw23wAug 9, 1996w3000000.0w2962051.0w2962051
Tsotsiw24wFeb 24, 2006w3000000.0w2912606.0w11537539
Letters to Godw25wApr 9, 2010w3000000.0w2848587.0w3237452
Happinessw26wOct 16, 1998w3000000.0w2746453.0w5746453
DysFunkTional Familyw27wApr 4, 2003w3000000.0w2255000.0w2255000
Tuskw28wSep 19, 2014w3000000.0w1821983.0w1887554
The Wallw29wMay 12, 2017w3000000.0w1803064.0w4495262
Elephantw30wOct 24, 2003w3000000.0w1266955.0w10051516
Damsels in Distressw31wApr 6, 2012w3000000.0w1007535.0w1324299
Oldboyw32wMar 25, 2005w3000000.0w707391.0w6239723
"Hobo with a Shotgun"w33wMay 6, 2011w3000000.0w703372.0w834953
The D Trainw34wMay 8, 2015w3000000.0w669688.0w772366
Bachelorettew35wSep 7, 2012w3000000.0w446770.0w12577401
Fish Tankw36wJan 15, 2010w3000000.0w374675.0w5922292
Everybody Wants to Be Italianw37wSep 5, 2008w3000000.0w351416.0w351416
Creaturew38wSep 9, 2011w3000000.0w331000.0w331000
The Bounce Backw39wDec 9, 2016w3000000.0w321910.0w421404
"Freeway"w40wAug 23, 1996w3000000.0w295493.0w295493
Love's Abiding Joyw41wOct 6, 2006w3000000.0w252726.0w252726
Dead Alivew42wFeb 12, 1993w3000000.0w242623.0w242623
Chain Letterw43wOct 1, 2010w3000000.0w205842.0w1022453
Tim and Eric's Billion Dollar Moview44wMar 2, 2012w3000000.0w201436.0w223652
